1;seq;6052296;
1;seq;4285723;
1;seq;3818812;
1;seq;3823472;
1;seq;1497269;
1;seq;1567749;
1;seq;1161493;
1;seq;880261;
1;seq;906149;
1;seq;890594;
1;seq;928194;
1;seq;862978;
1;seq;857931;
1;seq;932512;
1;seq;933798;
1;seq;894979;
1;seq;840138;
1;seq;825185;
1;seq;441077;
1;seq;383165;
1;seq;377953;
1;seq;379155;
1;seq;367520;
1;seq;371366;
1;seq;378036;
1;seq;386933;
1;seq;366789;
1;seq;364766;
1;seq;393666;
1;seq;387858;
2;seq;387210;
2;seq;375444;
2;seq;361708;
2;seq;367415;
2;seq;377970;
2;seq;366706;
2;seq;368989;
2;seq;406260;
2;seq;391959;
2;seq;383048;
2;seq;361702;
2;seq;368133;
2;seq;376066;
2;seq;405478;
2;seq;375591;
2;seq;378733;
2;seq;401280;
2;seq;376856;
2;seq;395352;
2;seq;377791;
2;seq;360275;
2;seq;407155;
2;seq;374604;
2;seq;377039;
2;seq;361461;
2;seq;342490;
2;seq;370182;
2;seq;369525;
2;seq;361148;
2;seq;344651;
4;seq;339508;
4;seq;342007;
4;seq;362771;
4;seq;378864;
4;seq;365540;
4;seq;392768;
4;seq;387045;
4;seq;383035;
4;seq;374891;
4;seq;363396;
4;seq;357695;
4;seq;347080;
4;seq;294629;
4;seq;233199;
4;seq;250715;
4;seq;250939;
4;seq;256860;
4;seq;264739;
4;seq;248029;
4;seq;250150;
4;seq;265287;
4;seq;225803;
4;seq;232544;
4;seq;224789;
4;seq;225117;
4;seq;229071;
4;seq;239578;
4;seq;258426;
4;seq;240372;
4;seq;245081;
8;seq;265493;250200,2
8;seq;251381;
8;seq;249305;
8;seq;261839;
8;seq;247406;
8;seq;262255;
8;seq;257526;
8;seq;242613;
8;seq;244205;
8;seq;242857;
8;seq;256461;
8;seq;242997;
8;seq;240178;
8;seq;240496;
8;seq;265149;
8;seq;252199;
8;seq;246894;
8;seq;261021;
8;seq;268702;
8;seq;227172;
8;seq;228812;
8;seq;245023;
8;seq;256641;
8;seq;243382;
8;seq;263972;
8;seq;250222;
8;seq;236842;
8;seq;240635;
8;seq;266596;
8;seq;247732;
16;seq;339927;
16;seq;261308;
16;seq;248327;
16;seq;253784;
16;seq;271307;
16;seq;257745;
16;seq;246532;
16;seq;241177;
16;seq;247333;
16;seq;239592;
16;seq;298606;
16;seq;250853;
16;seq;248910;
16;seq;247329;
16;seq;258748;
16;seq;276413;
16;seq;251042;
16;seq;255852;
16;seq;262464;
